age,workclass,education,occupation,hours-per-week,income
25.0,Private,11th,Machine-op-inspct,40,<=50K
38.0,Private,HS-grad,Farming-fishing,50,<=50K
28.0,Local-gov,Assoc-acdm,Protective-serv,40,>50K
44.0,Private,Some-college,Machine-op-inspct,40,>50K
18.0,Others,Some-college,Others,30,<=50K
34.0,Private,10th,Other-service,30,<=50K
29.0,Others,HS-grad,Others,40,<=50K
63.0,Self-emp-not-inc,Prof-school,Prof-specialty,32,>50K
24.0,Private,Some-college,Other-service,40,<=50K
55.0,Private,7th-8th,Craft-repair,10,<=50K
65.0,Private,HS-grad,Machine-op-inspct,40,>50K
36.0,Federal-gov,Bachelors,Adm-clerical,40,<=50K
26.0,Private,HS-grad,Adm-clerical,39,<=50K
58.0,Others,HS-grad,Others,35,<=50K
48.0,Private,HS-grad,Machine-op-inspct,48,>50K
43.0,Private,Masters,Exec-managerial,50,>50K
20.0,State-gov,Some-college,Other-service,25,<=50K
43.0,Private,HS-grad,Adm-clerical,30,<=50K
37.0,Private,HS-grad,Machine-op-inspct,20,<=50K
40.0,Private,Doctorate,Prof-specialty,45,>50K
34.0,Private,Bachelors,Tech-support,47,>50K
34.0,Private,Some-college,Other-service,35,<=50K
72.0,Others,7th-8th,Others,6,<=50K
25.0,Private,Bachelors,Prof-specialty,43,<=50K
25.0,Private,Bachelors,Prof-specialty,40,<=50K
45.0,Self-emp-not-inc,HS-grad,Craft-repair,90,>50K
22.0,Private,HS-grad,Adm-clerical,20,<=50K
23.0,Private,HS-grad,Machine-op-inspct,54,<=50K
54.0,Private,HS-grad,Craft-repair,35,<=50K
32.0,Self-emp-not-inc,Some-college,Prof-specialty,60,<=50K
46.0,State-gov,Some-college,Exec-managerial,38,>50K
56.0,Self-emp-not-inc,11th,Other-service,50,<=50K
24.0,Self-emp-not-inc,Bachelors,Sales,50,<=50K
23.0,Local-gov,Some-college,Protective-serv,40,<=50K
26.0,Private,HS-grad,Exec-managerial,40,<=50K
65.0,Others,HS-grad,Others,40,<=50K
36.0,Local-gov,Bachelors,Prof-specialty,40,>50K
17.0,Private,10th,Machine-op-inspct,40,<=50K
20.0,Private,HS-grad,Craft-repair,40,<=50K
65.0,Private,Masters,Prof-specialty,50,>50K
44.0,Self-emp-inc,Assoc-voc,Sales,45,>50K
36.0,Private,HS-grad,Farming-fishing,40,<=50K
29.0,Private,11th,Other-service,40,<=50K
20.0,State-gov,Some-college,Farming-fishing,32,<=50K
28.0,Private,Assoc-voc,Prof-specialty,36,>50K
39.0,Private,7th-8th,Craft-repair,40,<=50K
54.0,Private,Some-college,Transport-moving,50,<=50K
52.0,Private,11th,Priv-house-serv,18,<=50K
56.0,Self-emp-inc,HS-grad,Exec-managerial,50,<=50K
18.0,Private,Some-college,Other-service,20,<=50K
39.0,Private,HS-grad,Handlers-cleaners,40,<=50K
21.0,Private,Some-college,Other-service,24,<=50K
22.0,Private,HS-grad,Other-service,60,>50K
38.0,Private,9th,Exec-managerial,54,<=50K
21.0,Private,Some-college,Adm-clerical,40,<=50K
63.0,Private,HS-grad,Craft-repair,40,<=50K
34.0,Local-gov,Bachelors,Exec-managerial,50,>50K
42.0,Self-emp-inc,HS-grad,Exec-managerial,50,>50K
33.0,Private,HS-grad,Handlers-cleaners,40,<=50K
30.0,Private,Bachelors,Exec-managerial,50,<=50K
39.0,Private,Some-college,Sales,40,<=50K
26.0,Private,Masters,Exec-managerial,40,<=50K
33.0,Private,HS-grad,Machine-op-inspct,40,<=50K
47.0,Local-gov,HS-grad,Adm-clerical,40,<=50K
41.0,Private,Bachelors,Other-service,40,<=50K
41.0,Self-emp-inc,Assoc-acdm,Craft-repair,60,>50K
19.0,Private,Some-college,Other-service,20,<=50K
46.0,Private,HS-grad,Transport-moving,40,<=50K
43.0,Private,HS-grad,Sales,48,<=50K
55.0,Private,Some-college,Exec-managerial,45,>50K
46.0,Private,Assoc-voc,Tech-support,40,<=50K
30.0,Private,HS-grad,Machine-op-inspct,40,<=50K
21.0,Private,Some-college,Handlers-cleaners,40,<=50K
46.0,Private,Some-college,Craft-repair,40,<=50K
17.0,Others,10th,Others,40,<=50K
41.0,Private,HS-grad,Machine-op-inspct,50,<=50K
69.0,Self-emp-inc,HS-grad,Sales,30,<=50K
50.0,Private,HS-grad,Transport-moving,40,<=50K
20.0,Private,Some-college,Adm-clerical,40,<=50K
45.0,Self-emp-inc,Some-college,Machine-op-inspct,50,<=50K
23.0,Private,Bachelors,Exec-managerial,40,<=50K
24.0,Private,Some-college,Other-service,40,<=50K
44.0,Self-emp-inc,HS-grad,Craft-repair,50,>50K
31.0,Self-emp-not-inc,Some-college,Craft-repair,50,<=50K
43.0,Private,HS-grad,Machine-op-inspct,44,<=50K
20.0,Federal-gov,11th,Other-service,10,<=50K
55.0,Private,HS-grad,Sales,56,>50K
24.0,Federal-gov,Some-college,Armed-Forces,40,<=50K
41.0,Others,Masters,Others,10,>50K
59.0,Private,Bachelors,Exec-managerial,25,<=50K
49.0,Federal-gov,7th-8th,Other-service,20,<=50K
33.0,Private,Masters,Prof-specialty,10,>50K
59.0,Federal-gov,Bachelors,Adm-clerical,40,<=50K
34.0,Private,Masters,Other-service,40,<=50K
20.0,Private,HS-grad,Handlers-cleaners,40,<=50K
25.0,Private,Bachelors,Exec-managerial,40,<=50K
49.0,Private,10th,Farming-fishing,40,<=50K
59.0,Private,HS-grad,Transport-moving,40,>50K
20.0,Private,HS-grad,Adm-clerical,40,<=50K
51.0,Others,Some-college,Others,18,<=50K
33.0,Private,Some-college,Adm-clerical,35,<=50K
22.0,Private,Some-college,Transport-moving,39,<=50K
58.0,Self-emp-not-inc,9th,Other-service,40,<=50K
52.0,Local-gov,HS-grad,Adm-clerical,28,<=50K
36.0,Private,10th,Machine-op-inspct,40,<=50K
41.0,Local-gov,HS-grad,Protective-serv,40,<=50K
28.0,Private,HS-grad,Transport-moving,40,<=50K
19.0,Private,Some-college,Handlers-cleaners,16,<=50K
18.0,Private,HS-grad,Other-service,28,<=50K
18.0,Private,HS-grad,Machine-op-inspct,48,<=50K
28.0,Private,Some-college,Craft-repair,40,<=50K
29.0,Private,Assoc-voc,Exec-managerial,40,>50K
20.0,Others,HS-grad,Others,20,<=50K
40.0,Private,Some-college,Handlers-cleaners,40,<=50K
26.0,Private,HS-grad,Handlers-cleaners,40,<=50K
46.0,Private,HS-grad,Craft-repair,40,<=50K
23.0,Private,11th,Other-service,24,<=50K
44.0,Private,HS-grad,Adm-clerical,40,<=50K
43.0,Private,Bachelors,Sales,40,>50K
31.0,Local-gov,Bachelors,Prof-specialty,60,<=50K
18.0,Private,Some-college,Sales,25,<=50K
19.0,Private,Some-college,Protective-serv,30,<=50K
41.0,Private,Some-college,Tech-support,40,<=50K
41.0,Private,HS-grad,Handlers-cleaners,40,<=50K
69.0,Private,HS-grad,Adm-clerical,25,<=50K
48.0,Federal-gov,Doctorate,Prof-specialty,40,>50K
28.0,Private,HS-grad,Prof-specialty,40,<=50K
27.0,Self-emp-not-inc,HS-grad,Craft-repair,60,>50K
41.0,Private,Masters,Prof-specialty,50,>50K
41.0,Private,Some-college,Adm-clerical,40,<=50K
24.0,Private,HS-grad,Craft-repair,40,<=50K
20.0,Others,HS-grad,Others,40,<=50K
42.0,Self-emp-inc,Doctorate,Prof-specialty,41,>50K
57.0,Private,HS-grad,Craft-repair,48,<=50K
30.0,Private,Assoc-acdm,Prof-specialty,40,<=50K
36.0,Private,HS-grad,Sales,60,>50K
49.0,Private,7th-8th,Machine-op-inspct,40,<=50K
33.0,Private,HS-grad,Machine-op-inspct,35,<=50K
23.0,Private,10th,Farming-fishing,40,<=50K
46.0,Private,Masters,Prof-specialty,40,<=50K
18.0,Private,Some-college,Adm-clerical,22,<=50K
40.0,Private,HS-grad,Exec-managerial,55,>50K
43.0,Self-emp-inc,HS-grad,Exec-managerial,45,>50K
34.0,Private,Masters,Prof-specialty,30,<=50K
47.0,Self-emp-not-inc,HS-grad,Exec-managerial,30,<=50K
44.0,Private,Assoc-voc,Exec-managerial,30,<=50K
33.0,Private,HS-grad,Sales,40,>50K
